variant_id,run_name,split,config_id,method,neurosymbolic_enabled,decision_mode,symbolic_profile,threshold,tau_high,accuracy,balanced_accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,tp,fp,tn,fn,support,positives_true,positives_pred,positive_rate_true,positive_rate_pred,auroc,auprc,average_precision,brier_score,log_loss,accepted_count,rejected_count,accept_rate,reject_rate,symbolic_valid_count,symbolic_invalid_count,symbolic_uncertain_count,invalid_block_count,invalid_block_positive_labels,invalid_block_negative_labels,delta_precision,delta_recall,delta_f1,delta_fp,delta_fn,fp_reduction,fp_reduction_rate,recall_loss,recall_loss_rate
pairwise_50_medium_unseen100,neural_logreg,valid,invalid_blocks|profile=moderate|thr=0.60,neuro_symbolic_invalid_blocks,True,invalid_blocks,moderate,0.6,,0.8608571428571429,0.6705000000000001,0.5166240409207161,0.404,0.45342312008978675,0.937,0.063,0.596,202,189,2811,298,3500,500,391,0.14285714285714285,0.11171428571428571,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,391,3109,0.11171428571428571,0.8882857142857142,493.0,2345.0,662.0,498.0,185.0,313.0,0.08130345599383199,-0.37,-0.1038123010765199,-313.0,185.0,313.0,0.6235059760956175,0.37,0.4780361757105943
pairwise_50_medium_unseen100,neural_logreg,test,invalid_blocks|profile=moderate|thr=0.60,neuro_symbolic_invalid_blocks,True,invalid_blocks,moderate,0.6,,0.8555555555555555,0.64925,0.3595505617977528,0.384,0.3713733075435203,0.9145,0.0855,0.616,192,342,3658,308,4500,500,534,0.1111111111111111,0.11866666666666667,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,534,3966,0.11866666666666667,0.8813333333333333,566.0,3095.0,839.0,754.0,174.0,580.0,0.07538907111452298,-0.348,-0.03802266561084211,-580.0,174.0,580.0,0.6290672451193059,0.348,0.47540983606557374
pairwise_50_medium_unseen100,neural_logreg,valid,invalid_blocks|profile=conservative|thr=0.66,neuro_symbolic_invalid_blocks,True,invalid_blocks,conservative,0.66,,0.8765714285714286,0.7663333333333333,0.5625,0.612,0.5862068965517241,0.9206666666666666,0.07933333333333334,0.388,306,238,2762,194,3500,500,544,0.14285714285714285,0.15542857142857142,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,544,2956,0.15542857142857142,0.8445714285714285,856.0,1418.0,1226.0,201.0,50.0,151.0,0.0846476510067114,-0.09999999999999998,0.014319346350920914,-151.0,50.0,151.0,0.38817480719794345,0.09999999999999998,0.14044943820224717
pairwise_50_medium_unseen100,neural_logreg,test,invalid_blocks|profile=conservative|thr=0.66,neuro_symbolic_invalid_blocks,True,invalid_blocks,conservative,0.66,,0.85,0.7213750000000001,0.3803009575923393,0.556,0.4516653127538586,0.88675,0.11325,0.444,278,453,3547,222,4500,500,731,0.1111111111111111,0.16244444444444445,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,731,3769,0.16244444444444445,0.8375555555555556,973.0,1922.0,1605.0,368.0,50.0,318.0,0.08184781837486887,-0.09999999999999998,0.041408902497448385,-318.0,50.0,318.0,0.41245136186770426,0.09999999999999998,0.15243902439024387
pairwise_50_medium_unseen100,neural_logreg,valid,invalid_blocks|profile=moderate|thr=0.66,neuro_symbolic_invalid_blocks,True,invalid_blocks,moderate,0.66,,0.8685714285714285,0.6641666666666667,0.5591715976331361,0.378,0.4510739856801909,0.9503333333333334,0.049666666666666665,0.622,189,149,2851,311,3500,500,338,0.14285714285714285,0.09657142857142857,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,338,3162,0.09657142857142857,0.9034285714285715,493.0,2345.0,662.0,407.0,167.0,240.0,0.08131924863984746,-0.33399999999999996,-0.12081356452061226,-240.0,167.0,240.0,0.6169665809768637,0.33399999999999996,0.4691011235955056
pairwise_50_medium_unseen100,neural_logreg,test,invalid_blocks|profile=moderate|thr=0.66,neuro_symbolic_invalid_blocks,True,invalid_blocks,moderate,0.66,,0.8615555555555555,0.636,0.36886993603411516,0.346,0.3570691434468524,0.926,0.074,0.654,173,296,3704,327,4500,500,469,0.1111111111111111,0.10422222222222222,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,469,4031,0.10422222222222222,0.8957777777777778,566.0,3095.0,839.0,630.0,155.0,475.0,0.07041679681664476,-0.31000000000000005,-0.05318726680955782,-475.0,155.0,475.0,0.6160830090791181,0.31000000000000005,0.4725609756097562
pairwise_50_medium_unseen100,neural_logreg,valid,invalid_blocks|profile=conservative|thr=0.70,neuro_symbolic_invalid_blocks,True,invalid_blocks,conservative,0.7,,0.8774285714285714,0.7393333333333334,0.5747368421052632,0.546,0.56,0.9326666666666666,0.06733333333333333,0.454,273,202,2798,227,3500,500,475,0.14285714285714285,0.1357142857142857,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,475,3025,0.1357142857142857,0.8642857142857143,856.0,1418.0,1226.0,166.0,40.0,126.0,0.08643731012398398,-0.07999999999999996,0.011358457493426899,-126.0,40.0,126.0,0.38414634146341464,0.07999999999999996,0.12779552715654946
pairwise_50_medium_unseen100,neural_logreg,test,invalid_blocks|profile=conservative|thr=0.70,neuro_symbolic_invalid_blocks,True,invalid_blocks,conservative,0.7,,0.8615555555555555,0.713875,0.40494590417310666,0.524,0.45684394071490847,0.90375,0.09625,0.476,262,385,3615,238,4500,500,647,0.1111111111111111,0.14377777777777778,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,647,3853,0.14377777777777778,0.8562222222222222,973.0,1922.0,1605.0,312.0,41.0,271.0,0.08899178529927976,-0.08199999999999996,0.04149095922073437,-271.0,41.0,271.0,0.41310975609756095,0.08199999999999996,0.13531353135313526
pairwise_50_medium_unseen100,neural_logreg,valid,invalid_blocks|profile=moderate|thr=0.70,neuro_symbolic_invalid_blocks,True,invalid_blocks,moderate,0.7,,0.8708571428571429,0.653,0.58,0.348,0.435,0.958,0.042,0.652,174,126,2874,326,3500,500,300,0.14285714285714285,0.08571428571428572,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,300,3200,0.08571428571428572,0.9142857142857143,493.0,2345.0,662.0,341.0,139.0,202.0,0.09170046801872073,-0.278,-0.11364154250657316,-202.0,139.0,202.0,0.6158536585365854,0.278,0.44408945686900964
pairwise_50_medium_unseen100,neural_logreg,test,invalid_blocks|profile=moderate|thr=0.70,neuro_symbolic_invalid_blocks,True,invalid_blocks,moderate,0.7,,0.8675555555555555,0.628,0.38461538461538464,0.32,0.34934497816593885,0.936,0.064,0.68,160,256,3744,340,4500,500,416,0.1111111111111111,0.09244444444444444,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,416,4084,0.09244444444444444,0.9075555555555556,566.0,3095.0,839.0,543.0,143.0,400.0,0.06866126574155773,-0.286,-0.06600800332823525,-400.0,143.0,400.0,0.6097560975609756,0.286,0.47194719471947194
