threshold,accuracy,balanced_accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,tp,fp,tn,fn,support,positives_true,negatives_true,positives_pred,negatives_pred,positive_rate_true,positive_rate_pred,score_min,score_max,score_mean,score_std,auroc,auprc,average_precision,log_loss,brier_score,mean_symbolic_risk,median_symbolic_risk,mean_risk_accepted,mean_risk_rejected,num_nonzero_risk,nonzero_risk_rate,variant_id,run_name,split,symbolic_profile,config_id,mode,lambda_risk,rho,risk_normalization
0.66,0.8765714285714286,0.7663333333333333,0.5625,0.612,0.5862068965517241,0.9206666666666666,0.07933333333333334,0.388,306,238,2762,194,3500,500,3000,544,2956,0.14285714285714285,0.15542857142857142,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.0,0.09201623815967523,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.66|rho=0,soft_risk_gate,0.0,0.0,sum_weights
0.66,0.8765714285714286,0.7663333333333333,0.5625,0.612,0.5862068965517241,0.9206666666666666,0.07933333333333334,0.388,306,238,2762,194,3500,500,3000,544,2956,0.14285714285714285,0.15542857142857142,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.0,0.09201623815967523,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.66|rho=0.1,soft_risk_gate,0.0,0.1,sum_weights
0.66,0.8511428571428571,0.7906666666666666,0.4855570839064649,0.706,0.5753871230643847,0.8753333333333333,0.12466666666666666,0.294,353,374,2626,147,3500,500,3000,727,2773,0.14285714285714285,0.2077142857142857,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.04085281980742778,0.08737829065993508,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.66|rho=0.2,soft_risk_gate,0.0,0.2,sum_weights
0.66,0.8491428571428571,0.7911666666666666,0.481029810298103,0.71,0.5735056542810986,0.8723333333333333,0.12766666666666668,0.29,355,383,2617,145,3500,500,3000,738,2762,0.14285714285714285,0.21085714285714285,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.044715447154471545,0.08653149891383055,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.66|rho=0.3,soft_risk_gate,0.0,0.3,sum_weights
0.66,0.8477142857142858,0.7911666666666666,0.4778523489932886,0.712,0.5718875502008032,0.8703333333333333,0.12966666666666668,0.288,356,389,2611,144,3500,500,3000,745,2755,0.14285714285714285,0.21285714285714286,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.04778523489932885,0.0858076225045372,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.66|rho=0.5,soft_risk_gate,0.0,0.5,sum_weights
0.66,0.8477142857142858,0.7911666666666666,0.4778523489932886,0.712,0.5718875502008032,0.8703333333333333,0.12966666666666668,0.288,356,389,2611,144,3500,500,3000,745,2755,0.14285714285714285,0.21285714285714286,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.04778523489932885,0.0858076225045372,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.66|rho=0.75,soft_risk_gate,0.0,0.75,sum_weights
0.66,0.8477142857142858,0.7911666666666666,0.4778523489932886,0.712,0.5718875502008032,0.8703333333333333,0.12966666666666668,0.288,356,389,2611,144,3500,500,3000,745,2755,0.14285714285714285,0.21285714285714286,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.04778523489932885,0.0858076225045372,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.66|rho=1,soft_risk_gate,0.0,1.0,sum_weights
0.7,0.8774285714285714,0.7393333333333334,0.5747368421052632,0.546,0.56,0.9326666666666666,0.06733333333333333,0.454,273,202,2798,227,3500,500,3000,475,3025,0.14285714285714285,0.1357142857142857,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.0,0.08991735537190082,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.7|rho=0,soft_risk_gate,0.0,0.0,sum_weights
0.7,0.8774285714285714,0.7393333333333334,0.5747368421052632,0.546,0.56,0.9326666666666666,0.06733333333333333,0.454,273,202,2798,227,3500,500,3000,475,3025,0.14285714285714285,0.1357142857142857,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.0,0.08991735537190082,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.7|rho=0.1,soft_risk_gate,0.0,0.1,sum_weights
0.7,0.8554285714285714,0.7573333333333334,0.4952076677316294,0.62,0.5506216696269982,0.8946666666666667,0.10533333333333333,0.38,310,316,2684,190,3500,500,3000,626,2874,0.14285714285714285,0.17885714285714285,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.039190628328008514,0.08610531199257714,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.7|rho=0.2,soft_risk_gate,0.0,0.2,sum_weights
